name,price,quantity
Milk,2.3,1 liter
Yogurt,1.2,500 grams
Cheese,9.5,1 kilogram
Butter,5,250 grams
Cream,2.8,200 ml
Cottage Cheese,3.5,200 grams
Ice Cream,4.5,500 ml
Sour Cream,2.1,200 grams
Kefir,2.7,1 liter
Powdered Milk,6,500 grams
Rice,3.2,1 kilogram
Wheat Bread,1.8,1 loaf
Oats,4,1 kilogram
Cornmeal,2.5,1 kilogram
Quinoa,8.5,500 grams
Barley,3.5,1 kilogram
Pasta,2.3,500 grams
Breakfast Cereal,5.5,300 grams
Bulgur,4,1 kilogram
Farro,7.5,500 grams
Apples,2.5,1 kilogram
Bananas,2.2,1 kilogram
Oranges,2.8,1 kilogram
Grapes,4,1 kilogram
Strawberries,6,500 grams
Blueberries,7.5,250 grams
Pineapple,5,1 piece
Watermelon,3,1 kilogram
Avocado,3.5,1 piece
Cherries,8,1 kilogram
Carrots,1.5,1 kilogram
Broccoli,3.8,500 grams
Spinach,4.2,500 grams
Potatoes,1.3,1 kilogram
Tomatoes,3,1 kilogram
Bell Peppers,3.5,1 kilogram
Onions,1.8,1 kilogram
Cucumbers,2,1 kilogram
Lettuce,1.2,1 head
Cauliflower,3.8,1 head
Chicken Breast,12.5,1 kilogram
Beef,18,1 kilogram
Eggs,0.5,1 piece
Tofu,4.5,250 grams
Fish,15,1 kilogram
Lentils,2.8,500 grams
Chickpeas,2.7,500 grams
Pork,13,1 kilogram
Turkey,14,1 kilogram
Nuts,10,250 grams
Almonds,14,250 grams
Walnuts,12,250 grams
Cashews,15,250 grams
Pecans,20,250 grams
Pumpkin Seeds,5.5,250 grams
Sunflower Seeds,3.5,250 grams
Chia Seeds,12.5,250 grams
Flaxseeds,4,250 grams
Hazelnuts,18,250 grams
Brazil Nuts,22,250 grams
Black Beans,3.2,1 kilogram
Kidney Beans,2.9,1 kilogram
Lentils,2.8,1 kilogram
Chickpeas,2.7,1 kilogram
Peas,2.5,1 kilogram
Pinto Beans,3,1 kilogram
Mung Beans,4,1 kilogram
Navy Beans,2.9,1 kilogram
Adzuki Beans,5,1 kilogram
Lima Beans,3.5,1 kilogram

